"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,3.313159e+001,1.149960e+001,4.070000e+002,0.000000e+000,381,2.589045e-001,2.005604e+002,7.241716e+001,2.754188e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.290827e+000,7.731798e-001
2,C,3.756652e+001,1.149960e+001,4.670000e+002,0.000000e+000,432,2.695610e-001,1.883481e+002,7.466080e+001,2.849418e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.343125e+000,7.766613e-001
2,D,3.643605e+001,1.149960e+001,4.510000e+002,0.000000e+000,419,2.575064e-001,1.875735e+002,7.321596e+001,2.987689e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.321143e+000,7.730140e-001
2,E,3.600125e+001,1.149960e+001,4.450000e+002,0.000000e+000,414,2.661350e-001,1.907333e+002,7.501852e+001,2.893952e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.312892e+000,7.718025e-001
2,F,3.147936e+001,1.149960e+001,3.900000e+002,0.000000e+000,362,2.580268e-001,1.963780e+002,7.373740e+001,2.781516e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.318410e+000,7.719505e-001
2,G,3.095760e+001,1.149960e+001,3.800000e+002,0.000000e+000,356,2.699227e-001,1.958781e+002,7.659868e+001,3.123330e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.328986e+000,7.750182e-001
3,B,3.330551e+001,1.149960e+001,4.140000e+002,0.000000e+000,383,2.543429e-001,1.936949e+002,7.180420e+001,2.680328e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.315992e+000,7.713007e-001
3,C,4.061011e+001,1.149960e+001,5.150000e+002,0.000000e+000,467,2.611981e-001,2.107715e+002,7.209747e+001,2.426071e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.354780e+000,7.671007e-001
3,D,4.678424e+001,1.149960e+001,5.910000e+002,0.000000e+000,538,2.590327e-001,2.021504e+002,7.355077e+001,2.910245e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.298101e+000,7.757995e-001
3,E,4.678424e+001,1.149960e+001,5.840000e+002,0.000000e+000,538,2.491949e-001,1.887927e+002,7.291423e+001,2.717124e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.317867e+000,7.679360e-001
3,F,4.852343e+001,1.149960e+001,6.130000e+002,0.000000e+000,558,2.512959e-001,1.844200e+002,7.353413e+001,2.671585e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.327556e+000,7.723397e-001
3,G,3.939267e+001,1.149960e+001,4.840000e+002,0.000000e+000,453,2.635475e-001,1.965230e+002,7.581296e+001,3.117381e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.320309e+000,7.725536e-001
4,B,3.104456e+001,1.149960e+001,4.240000e+002,0.000000e+000,357,2.541786e-001,2.064645e+002,7.130874e+001,2.485633e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.297281e+000,7.725627e-001
